"ITTER107","Territory","TIPO_DATO_AVQ","Data type","MISURA_AVQ","Measure","TIME","Select time","Value","Flag Codes","Flags"
"ITD5","Emilia-Romagna","14_WINF_POL_ORGSIND"," trade unions","HSC","per 100 people with the same characteristics","2019","2019",1.4,,
"ITD5","Emilia-Romagna","14_WINF_POL_ORGSIND"," trade unions","HSC","per 100 people with the same characteristics","2020","2020",1.1,,
"ITF","Sud","14_WINF_POL_NEWS","newspapers","THV","thousands value","2019","2019",1821,,
"ITF","Sud","14_WINF_POL_NEWS","newspapers","THV","thousands value","2020","2020",1628,,
"ITE1","Toscana","14_WINF_POL_MAG","weekly magazines","THV","thousands value","2019","2019",178,,
"ITE1","Toscana","14_WINF_POL_MAG","weekly magazines","THV","thousands value","2020","2020",130,,
"ITF","Sud","14_WINF_POL_NEWS","newspapers","HSC","per 100 people with the same characteristics","2019","2019",23.8,,
"ITF","Sud","14_WINF_POL_NEWS","newspapers","HSC","per 100 people with the same characteristics","2020","2020",21.4,,
"ITG","Isole","14_WINF_POL_REL","relatives","THV","thousands value","2019","2019",768,,
"ITG","Isole","14_WINF_POL_REL","relatives","THV","thousands value","2020","2020",794,,
"ITF4","Puglia","14_WINF_POL_OTHM","other publications not weekly","THV","thousands value","2019","2019",49,,
"ITF4","Puglia","14_WINF_POL_OTHM","other publications not weekly","THV","thousands value","2020","2020",64,,
"ITD5","Emilia-Romagna","14_WINF_POL_TV","tv","THV","thousands value","2019","2019",2711,,
"ITD5","Emilia-Romagna","14_WINF_POL_TV","tv","THV","thousands value","2020","2020",2750,,
"ITF3","Campania","14_WINF_POL_COL","colleagues","THV","thousands value","2019","2019",387,,
"ITF3","Campania","14_WINF_POL_COL","colleagues","THV","thousands value","2020","2020",439,,
"ITD3","Veneto","14_WINF_POL_ORGPOL","political organizations","THV","thousands value","2019","2019",34,,
"ITD3","Veneto","14_WINF_POL_ORGPOL","political organizations","THV","thousands value","2020","2020",31,,
"ITE2","Umbria","14_WINF_POL_ORGSIND"," trade unions","HSC","per 100 people with the same characteristics","2019","2019",1.1,,
"ITE2","Umbria","14_WINF_POL_ORGSIND"," trade unions","HSC","per 100 people with the same characteristics","2020","2020",1.3,,
"ITE3","Marche","14_WINF_POL_FRI","friends","HSC","per 100 people with the same characteristics","2019","2019",21.8,,
"ITE3","Marche","14_WINF_POL_FRI","friends","HSC","per 100 people with the same characteristics","2020","2020",22.2,,
"ITE1","Toscana","14_WINF_POL_COL","colleagues","HSC","per 100 people with the same characteristics","2019","2019",13.6,,
"ITE1","Toscana","14_WINF_POL_COL","colleagues","HSC","per 100 people with the same characteristics","2020","2020",14.6,,
"ITF2","Molise","14_WINF_POL_REL","relatives","THV","thousands value","2019","2019",38,,
"ITF2","Molise","14_WINF_POL_REL","relatives","THV","thousands value","2020","2020",44,,
"ITF3","Campania","14_WINF_POL_REL","relatives","HSC","per 100 people with the same characteristics","2019","2019",25.2,,
"ITF3","Campania","14_WINF_POL_REL","relatives","HSC","per 100 people with the same characteristics","2020","2020",28.2,,
"ITFG","Mezzogiorno","14_WINF_POL_MAG","weekly magazines","THV","thousands value","2019","2019",614,,
"ITFG","Mezzogiorno","14_WINF_POL_MAG","weekly magazines","THV","thousands value","2020","2020",682,,
"ITE4","Lazio","14_WINF_POL_ORGPOL","political organizations","HSC","per 100 people with the same characteristics","2019","2019",1.5,,
"ITE4","Lazio","14_WINF_POL_ORGPOL","political organizations","HSC","per 100 people with the same characteristics","2020","2020",0.7,,
"ITG1","Sicilia","14_WINF_POL_COL","colleagues","HSC","per 100 people with the same characteristics","2019","2019",12.6,,
"ITG1","Sicilia","14_WINF_POL_COL","colleagues","HSC","per 100 people with the same characteristics","2020","2020",11.1,,
"ITE","Centro (I)","14_WINF_POL_COL","colleagues","THV","thousands value","2019","2019",1036,,
"ITE","Centro (I)","14_WINF_POL_COL","colleagues","THV","thousands value","2020","2020",1079,,
"2","metropolitan area - centre","14_WINF_POL_COL","colleagues","HSC","per 100 people with the same characteristics","2019","2019",13.6,,
"2","metropolitan area - centre","14_WINF_POL_COL","colleagues","HSC","per 100 people with the same characteristics","2020","2020",13.8,,
"ITF6","Calabria","14_WINF_POL_COL","colleagues","HSC","per 100 people with the same characteristics","2019","2019",11.8,,
"ITF6","Calabria","14_WINF_POL_COL","colleagues","HSC","per 100 people with the same characteristics","2020","2020",10,,
"ITF2","Molise","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2019","2019",90,,
"ITF2","Molise","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2020","2020",89.9,,
"ITF5","Basilicata","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2019","2019",3.2,,
"ITF5","Basilicata","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2020","2020",3.9,,
"ITE3","Marche","14_WINF_POL_ORGSIND"," trade unions","THV","thousands value","2019","2019",8,,
"ITE3","Marche","14_WINF_POL_ORGSIND"," trade unions","THV","thousands value","2020","2020",7,,
"ITG2","Sardegna","14_WINF_POL_MAG","weekly magazines","HSC","per 100 people with the same characteristics","2019","2019",8.1,,
"ITG2","Sardegna","14_WINF_POL_MAG","weekly magazines","HSC","per 100 people with the same characteristics","2020","2020",7.9,,
"ITF4","Puglia","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2019","2019",3.6,,
"ITF4","Puglia","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2020","2020",5.2,,
"IT","Italy","14_WINF_POL_REL","relatives","HSC","per 100 people with the same characteristics","2019","2019",22.9,,
"IT","Italy","14_WINF_POL_REL","relatives","HSC","per 100 people with the same characteristics","2020","2020",24.5,,
"ITF3","Campania","14_WINF_POL_REL","relatives","THV","thousands value","2019","2019",747,,
"ITF3","Campania","14_WINF_POL_REL","relatives","THV","thousands value","2020","2020",840,,
"ITF6","Calabria","14_WINF_POL_COL","colleagues","THV","thousands value","2019","2019",125,,
"ITF6","Calabria","14_WINF_POL_COL","colleagues","THV","thousands value","2020","2020",92,,
"ITF1","Abruzzo","14_WINF_POL_ORGPOL","political organizations","HSC","per 100 people with the same characteristics","2019","2019",2,,
"ITF1","Abruzzo","14_WINF_POL_ORGPOL","political organizations","HSC","per 100 people with the same characteristics","2020","2020",0.3,,
"ITE","Centro (I)","14_WINF_POL_COL","colleagues","HSC","per 100 people with the same characteristics","2019","2019",13.4,,
"ITE","Centro (I)","14_WINF_POL_COL","colleagues","HSC","per 100 people with the same characteristics","2020","2020",13.5,,
"ITE1","Toscana","14_WINF_POL_COL","colleagues","THV","thousands value","2019","2019",344,,
"ITE1","Toscana","14_WINF_POL_COL","colleagues","THV","thousands value","2020","2020",373,,
"ITG2","Sardegna","14_WINF_POL_MAG","weekly magazines","THV","thousands value","2019","2019",83,,
"ITG2","Sardegna","14_WINF_POL_MAG","weekly magazines","THV","thousands value","2020","2020",82,,
"ITD5","Emilia-Romagna","14_WINF_POL_MAG","weekly magazines","THV","thousands value","2019","2019",229,,
"ITD5","Emilia-Romagna","14_WINF_POL_MAG","weekly magazines","THV","thousands value","2020","2020",241,,
"ITG","Isole","14_WINF_POL_TV","tv","THV","thousands value","2019","2019",3346,,
"ITG","Isole","14_WINF_POL_TV","tv","THV","thousands value","2020","2020",3324,,
"ITF1","Abruzzo","14_WINF_POL_ORGPOL","political organizations","THV","thousands value","2019","2019",17,,
"ITF1","Abruzzo","14_WINF_POL_ORGPOL","political organizations","THV","thousands value","2020","2020",3,,
"ITE2","Umbria","14_WINF_POL_FRI","friends","HSC","per 100 people with the same characteristics","2019","2019",24.4,,
"ITE2","Umbria","14_WINF_POL_FRI","friends","HSC","per 100 people with the same characteristics","2020","2020",30.9,,
"ITE3","Marche","14_WINF_POL_ORGSIND"," trade unions","HSC","per 100 people with the same characteristics","2019","2019",0.8,,
"ITE3","Marche","14_WINF_POL_ORGSIND"," trade unions","HSC","per 100 people with the same characteristics","2020","2020",0.7,,
"ITE2","Umbria","14_WINF_POL_MAG","weekly magazines","HSC","per 100 people with the same characteristics","2019","2019",8.7,,
"ITE2","Umbria","14_WINF_POL_MAG","weekly magazines","HSC","per 100 people with the same characteristics","2020","2020",6.5,,
"ITE4","Lazio","14_WINF_POL_NEWS","newspapers","THV","thousands value","2019","2019",1130,,
"ITE4","Lazio","14_WINF_POL_NEWS","newspapers","THV","thousands value","2020","2020",1091,,
"ITG1","Sicilia","14_WINF_POL_TV","tv","THV","thousands value","2019","2019",2414,,
"ITG1","Sicilia","14_WINF_POL_TV","tv","THV","thousands value","2020","2020",2390,,
"ITF2","Molise","14_WINF_POL_OTHER","other","THV","thousands value","2019","2019",7,,
"ITF2","Molise","14_WINF_POL_OTHER","other","THV","thousands value","2020","2020",11,,
"ITE4","Lazio","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2019","2019",4,,
"ITE4","Lazio","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2020","2020",5.3,,
"ITF3","Campania","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2019","2019",90.2,,
"ITF3","Campania","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2020","2020",89.7,,
"ITFG","Mezzogiorno","14_WINF_POL_COL","colleagues","THV","thousands value","2019","2019",1429,,
"ITFG","Mezzogiorno","14_WINF_POL_COL","colleagues","THV","thousands value","2020","2020",1407,,
"ITE1","Toscana","14_WINF_POL_ORGSIND"," trade unions","HSC","per 100 people with the same characteristics","2019","2019",1.3,,
"ITE1","Toscana","14_WINF_POL_ORGSIND"," trade unions","HSC","per 100 people with the same characteristics","2020","2020",0.8,,
"ITFG","Mezzogiorno","14_WINF_POL_MAG","weekly magazines","HSC","per 100 people with the same characteristics","2019","2019",5.4,,
"ITFG","Mezzogiorno","14_WINF_POL_MAG","weekly magazines","HSC","per 100 people with the same characteristics","2020","2020",6,,
"2","metropolitan area - centre","14_WINF_POL_MAG","weekly magazines","HSC","per 100 people with the same characteristics","2019","2019",9.7,,
"2","metropolitan area - centre","14_WINF_POL_MAG","weekly magazines","HSC","per 100 people with the same characteristics","2020","2020",8.1,,
"3","metropolitan area - suburbs","14_WINF_POL_MAG","weekly magazines","HSC","per 100 people with the same characteristics","2019","2019",5.6,,
"3","metropolitan area - suburbs","14_WINF_POL_MAG","weekly magazines","HSC","per 100 people with the same characteristics","2020","2020",5.9,,
"ITF6","Calabria","14_WINF_POL_MAG","weekly magazines","HSC","per 100 people with the same characteristics","2019","2019",4.2,,
"ITF6","Calabria","14_WINF_POL_MAG","weekly magazines","HSC","per 100 people with the same characteristics","2020","2020",5.8,,
"ITF2","Molise","14_WINF_POL_REL","relatives","HSC","per 100 people with the same characteristics","2019","2019",21.4,,
"ITF2","Molise","14_WINF_POL_REL","relatives","HSC","per 100 people with the same characteristics","2020","2020",23.6,,
"ITE2","Umbria","14_WINF_POL_COL","colleagues","THV","thousands value","2019","2019",71,,
"ITE2","Umbria","14_WINF_POL_COL","colleagues","THV","thousands value","2020","2020",100,,
"ITF5","Basilicata","14_WINF_POL_REL","relatives","HSC","per 100 people with the same characteristics","2019","2019",27.1,,
"ITF5","Basilicata","14_WINF_POL_REL","relatives","HSC","per 100 people with the same characteristics","2020","2020",26.7,,
"ITF","Sud","14_WINF_POL_RADIO","radio","THV","thousands value","2019","2019",2014,,
"ITF","Sud","14_WINF_POL_RADIO","radio","THV","thousands value","2020","2020",1765,,
"ITF4","Puglia","14_WINF_POL_REL","relatives","HSC","per 100 people with the same characteristics","2019","2019",26.5,,
"ITF4","Puglia","14_WINF_POL_REL","relatives","HSC","per 100 people with the same characteristics","2020","2020",26.1,,
"ITD5","Emilia-Romagna","14_WINF_POL_MAG","weekly magazines","HSC","per 100 people with the same characteristics","2019","2019",7.5,,
"ITD5","Emilia-Romagna","14_WINF_POL_MAG","weekly magazines","HSC","per 100 people with the same characteristics","2020","2020",7.8,,
"ITE","Centro (I)","14_WINF_POL_TV","tv","THV","thousands value","2019","2019",6900,,
"ITE","Centro (I)","14_WINF_POL_TV","tv","THV","thousands value","2020","2020",7276,,
"ITF6","Calabria","14_WINF_POL_MAG","weekly magazines","THV","thousands value","2019","2019",45,,
"ITF6","Calabria","14_WINF_POL_MAG","weekly magazines","THV","thousands value","2020","2020",54,,
"ITF3","Campania","14_WINF_POL_TV","tv","THV","thousands value","2019","2019",2678,,
"ITF3","Campania","14_WINF_POL_TV","tv","THV","thousands value","2020","2020",2669,,
"2","metropolitan area - centre","14_WINF_POL_COL","colleagues","THV","thousands value","2019","2019",846,,
"2","metropolitan area - centre","14_WINF_POL_COL","colleagues","THV","thousands value","2020","2020",855,,
"ITE1","Toscana","14_WINF_POL_ORGSIND"," trade unions","THV","thousands value","2019","2019",34,,
"ITE1","Toscana","14_WINF_POL_ORGSIND"," trade unions","THV","thousands value","2020","2020",20,,
"ITF","Sud","14_WINF_POL_ORGPOL","political organizations","HSC","per 100 people with the same characteristics","2019","2019",1.4,,
"ITF","Sud","14_WINF_POL_ORGPOL","political organizations","HSC","per 100 people with the same characteristics","2020","2020",1.3,,
"ITG2","Sardegna","14_WINF_POL_ORGSIND"," trade unions","HSC","per 100 people with the same characteristics","2019","2019",0.7,,
"ITG2","Sardegna","14_WINF_POL_ORGSIND"," trade unions","HSC","per 100 people with the same characteristics","2020","2020",0.5,,
"ITG","Isole","14_WINF_POL_COL","colleagues","HSC","per 100 people with the same characteristics","2019","2019",12.2,,
"ITG","Isole","14_WINF_POL_COL","colleagues","HSC","per 100 people with the same characteristics","2020","2020",10.6,,
"ITD3","Veneto","14_WINF_POL_NEWS","newspapers","THV","thousands value","2019","2019",1161,,
"ITD3","Veneto","14_WINF_POL_NEWS","newspapers","THV","thousands value","2020","2020",1186,,
"ITF","Sud","14_WINF_POL_ORGPOL","political organizations","THV","thousands value","2019","2019",106,,
"ITF","Sud","14_WINF_POL_ORGPOL","political organizations","THV","thousands value","2020","2020",97,,
"ITD5","Emilia-Romagna","14_WINF_POL_COL","colleagues","THV","thousands value","2019","2019",439,,
"ITD5","Emilia-Romagna","14_WINF_POL_COL","colleagues","THV","thousands value","2020","2020",431,,
"ITF5","Basilicata","14_WINF_POL_OTHER","other","THV","thousands value","2019","2019",10,,
"ITF5","Basilicata","14_WINF_POL_OTHER","other","THV","thousands value","2020","2020",13,,
"ITF4","Puglia","14_WINF_POL_OTHER","other","THV","thousands value","2019","2019",84,,
"ITF4","Puglia","14_WINF_POL_OTHER","other","THV","thousands value","2020","2020",120,,
"ITE","Centro (I)","14_WINF_POL_ORGSIND"," trade unions","HSC","per 100 people with the same characteristics","2019","2019",1,,
"ITE","Centro (I)","14_WINF_POL_ORGSIND"," trade unions","HSC","per 100 people with the same characteristics","2020","2020",0.8,,
"2","metropolitan area - centre","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2019","2019",87.6,,
"2","metropolitan area - centre","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2020","2020",88.6,,
"ITE3","Marche","14_WINF_POL_ORGPOL","political organizations","HSC","per 100 people with the same characteristics","2019","2019",1.5,,
"ITE3","Marche","14_WINF_POL_ORGPOL","political organizations","HSC","per 100 people with the same characteristics","2020","2020",1.1,,
"ITD4","Friuli-Venezia Giulia","14_WINF_POL_ORGPOL","political organizations","THV","thousands value","2019","2019",9,,
"ITD4","Friuli-Venezia Giulia","14_WINF_POL_ORGPOL","political organizations","THV","thousands value","2020","2020",6,,
"ITE4","Lazio","14_WINF_POL_OTHM","other publications not weekly","THV","thousands value","2019","2019",135,,
"ITE4","Lazio","14_WINF_POL_OTHM","other publications not weekly","THV","thousands value","2020","2020",79,,
"ITE","Centro (I)","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2019","2019",89.4,,
"ITE","Centro (I)","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2020","2020",91,,
"ITF1","Abruzzo","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2019","2019",5,,
"ITF1","Abruzzo","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2020","2020",4.9,,
"ITF3","Campania","14_WINF_POL_OTHM","other publications not weekly","THV","thousands value","2019","2019",62,,
"ITF3","Campania","14_WINF_POL_OTHM","other publications not weekly","THV","thousands value","2020","2020",73,,
"ITF2","Molise","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2019","2019",3.7,,
"ITF2","Molise","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2020","2020",6,,
"ITF5","Basilicata","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2019","2019",91.7,,
"ITF5","Basilicata","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2020","2020",94.1,,
"ITG2","Sardegna","14_WINF_POL_ACQ","acquaintances","THV","thousands value","2019","2019",132,,
"ITG2","Sardegna","14_WINF_POL_ACQ","acquaintances","THV","thousands value","2020","2020",121,,
"ITE3","Marche","14_WINF_POL_RADIO","radio","THV","thousands value","2019","2019",297,,
"ITE3","Marche","14_WINF_POL_RADIO","radio","THV","thousands value","2020","2020",272,,
"ITG","Isole","14_WINF_POL_FRI","friends","THV","thousands value","2019","2019",1067,,
"ITG","Isole","14_WINF_POL_FRI","friends","THV","thousands value","2020","2020",992,,
"ITF2","Molise","14_WINF_POL_NEWS","newspapers","THV","thousands value","2019","2019",41,,
"ITF2","Molise","14_WINF_POL_NEWS","newspapers","THV","thousands value","2020","2020",49,,
"ITE","Centro (I)","14_WINF_POL_REL","relatives","THV","thousands value","2019","2019",1691,,
"ITE","Centro (I)","14_WINF_POL_REL","relatives","THV","thousands value","2020","2020",1890,,
"ITF","Sud","14_WINF_POL_OTHM","other publications not weekly","HSC","per 100 people with the same characteristics","2019","2019",2.3,,
"ITF","Sud","14_WINF_POL_OTHM","other publications not weekly","HSC","per 100 people with the same characteristics","2020","2020",2.6,,
"ITF4","Puglia","14_WINF_POL_ORGPOL","political organizations","HSC","per 100 people with the same characteristics","2019","2019",1.3,,
"ITF4","Puglia","14_WINF_POL_ORGPOL","political organizations","HSC","per 100 people with the same characteristics","2020","2020",1.7,,
"ITD2","Provincia Autonoma Trento","14_WINF_POL_OTHM","other publications not weekly","THV","thousands value","2019","2019",13,,
"ITD2","Provincia Autonoma Trento","14_WINF_POL_OTHM","other publications not weekly","THV","thousands value","2020","2020",16,,
"ITF","Sud","14_WINF_POL_OTHM","other publications not weekly","THV","thousands value","2019","2019",174,,
"ITF","Sud","14_WINF_POL_OTHM","other publications not weekly","THV","thousands value","2020","2020",198,,
"ITF4","Puglia","14_WINF_POL_ORGPOL","political organizations","THV","thousands value","2019","2019",30,,
"ITF4","Puglia","14_WINF_POL_ORGPOL","political organizations","THV","thousands value","2020","2020",41,,
"ITF5","Basilicata","14_WINF_POL_REL","relatives","THV","thousands value","2019","2019",84,,
"ITF5","Basilicata","14_WINF_POL_REL","relatives","THV","thousands value","2020","2020",88,,
"ITFG","Mezzogiorno","14_WINF_POL_NEWS","newspapers","HSC","per 100 people with the same characteristics","2019","2019",24.8,,
"ITFG","Mezzogiorno","14_WINF_POL_NEWS","newspapers","HSC","per 100 people with the same characteristics","2020","2020",22.8,,
"2","metropolitan area - centre","14_WINF_POL_REL","relatives","THV","thousands value","2019","2019",1442,,
"2","metropolitan area - centre","14_WINF_POL_REL","relatives","THV","thousands value","2020","2020",1693,,
"ITF6","Calabria","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2019","2019",14.6,,
"ITF6","Calabria","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2020","2020",13.1,,
"ITG","Isole","14_WINF_POL_RADIO","radio","HSC","per 100 people with the same characteristics","2019","2019",25.8,,
"ITG","Isole","14_WINF_POL_RADIO","radio","HSC","per 100 people with the same characteristics","2020","2020",22.8,,
"ITE1","Toscana","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2019","2019",12.4,,
"ITE1","Toscana","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2020","2020",13,,
"ITD3","Veneto","14_WINF_POL_OTHM","other publications not weekly","THV","thousands value","2019","2019",106,,
"ITD3","Veneto","14_WINF_POL_OTHM","other publications not weekly","THV","thousands value","2020","2020",139,,
"ITE3","Marche","14_WINF_POL_RADIO","radio","HSC","per 100 people with the same characteristics","2019","2019",30,,
"ITE3","Marche","14_WINF_POL_RADIO","radio","HSC","per 100 people with the same characteristics","2020","2020",28,,
"ITG","Isole","14_WINF_POL_MAG","weekly magazines","THV","thousands value","2019","2019",206,,
"ITG","Isole","14_WINF_POL_MAG","weekly magazines","THV","thousands value","2020","2020",240,,
"ITG1","Sicilia","14_WINF_POL_RADIO","radio","HSC","per 100 people with the same characteristics","2019","2019",24.8,,
"ITG1","Sicilia","14_WINF_POL_RADIO","radio","HSC","per 100 people with the same characteristics","2020","2020",21.1,,
"ITE4","Lazio","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2019","2019",89,,
"ITE4","Lazio","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2020","2020",90.4,,
"ITF3","Campania","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2019","2019",2.7,,
"ITF3","Campania","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2020","2020",5.4,,
"ITE1","Toscana","14_WINF_POL_RADIO","radio","HSC","per 100 people with the same characteristics","2019","2019",34.9,,
"ITE1","Toscana","14_WINF_POL_RADIO","radio","HSC","per 100 people with the same characteristics","2020","2020",29.2,,
"ITD4","Friuli-Venezia Giulia","14_WINF_POL_OTHM","other publications not weekly","THV","thousands value","2019","2019",37,,
"ITD4","Friuli-Venezia Giulia","14_WINF_POL_OTHM","other publications not weekly","THV","thousands value","2020","2020",23,,
"2","metropolitan area - centre","14_WINF_POL_OTHM","other publications not weekly","THV","thousands value","2019","2019",263,,
"2","metropolitan area - centre","14_WINF_POL_OTHM","other publications not weekly","THV","thousands value","2020","2020",223,,
"ITG2","Sardegna","14_WINF_POL_FRI","friends","THV","thousands value","2019","2019",281,,
"ITG2","Sardegna","14_WINF_POL_FRI","friends","THV","thousands value","2020","2020",215,,
"ITE3","Marche","14_WINF_POL_NEWS","newspapers","THV","thousands value","2019","2019",313,,
"ITE3","Marche","14_WINF_POL_NEWS","newspapers","THV","thousands value","2020","2020",273,,
"ITE","Centro (I)","14_WINF_POL_REL","relatives","HSC","per 100 people with the same characteristics","2019","2019",21.9,,
"ITE","Centro (I)","14_WINF_POL_REL","relatives","HSC","per 100 people with the same characteristics","2020","2020",23.6,,
"ITD5","Emilia-Romagna","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2019","2019",89,,
"ITD5","Emilia-Romagna","14_WINF_POL_TV","tv","HSC","per 100 people with the same characteristics","2020","2020",88.7,,
"ITF","Sud","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2019","2019",3.3,,
"ITF","Sud","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2020","2020",5,,
"ITG1","Sicilia","14_WINF_POL_FRI","friends","THV","thousands value","2019","2019",786,,
"ITG1","Sicilia","14_WINF_POL_FRI","friends","THV","thousands value","2020","2020",777,,
"ITF3","Campania","14_WINF_POL_NEWS","newspapers","THV","thousands value","2019","2019",676,,
"ITF3","Campania","14_WINF_POL_NEWS","newspapers","THV","thousands value","2020","2020",606,,
"ITF4","Puglia","14_WINF_POL_ACQ","acquaintances","THV","thousands value","2019","2019",296,,
"ITF4","Puglia","14_WINF_POL_ACQ","acquaintances","THV","thousands value","2020","2020",355,,
"ITFG","Mezzogiorno","14_WINF_POL_ACQ","acquaintances","THV","thousands value","2019","2019",1573,,
"ITFG","Mezzogiorno","14_WINF_POL_ACQ","acquaintances","THV","thousands value","2020","2020",1566,,
"ITE1","Toscana","14_WINF_POL_RADIO","radio","THV","thousands value","2019","2019",884,,
"ITE1","Toscana","14_WINF_POL_RADIO","radio","THV","thousands value","2020","2020",746,,
"ITE","Centro (I)","14_WINF_POL_OTHER","other","THV","thousands value","2019","2019",350,,
"ITE","Centro (I)","14_WINF_POL_OTHER","other","THV","thousands value","2020","2020",459,,
"ITF3","Campania","14_WINF_POL_OTHER","other","THV","thousands value","2019","2019",81,,
"ITF3","Campania","14_WINF_POL_OTHER","other","THV","thousands value","2020","2020",162,,
"ITG2","Sardegna","14_WINF_POL_RADIO","radio","HSC","per 100 people with the same characteristics","2019","2019",28.2,,
"ITG2","Sardegna","14_WINF_POL_RADIO","radio","HSC","per 100 people with the same characteristics","2020","2020",27.1,,
"ITF4","Puglia","14_WINF_POL_OTHM","other publications not weekly","HSC","per 100 people with the same characteristics","2019","2019",2.1,,
"ITF4","Puglia","14_WINF_POL_OTHM","other publications not weekly","HSC","per 100 people with the same characteristics","2020","2020",2.7,,
"ITE2","Umbria","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2019","2019",12.3,,
"ITE2","Umbria","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2020","2020",14,,
"ITD5","Emilia-Romagna","14_WINF_POL_OTHM","other publications not weekly","THV","thousands value","2019","2019",74,,
"ITD5","Emilia-Romagna","14_WINF_POL_OTHM","other publications not weekly","THV","thousands value","2020","2020",103,,
"ITF6","Calabria","14_WINF_POL_FRI","friends","HSC","per 100 people with the same characteristics","2019","2019",34.3,,
"ITF6","Calabria","14_WINF_POL_FRI","friends","HSC","per 100 people with the same characteristics","2020","2020",32.3,,
"ITE2","Umbria","14_WINF_POL_ACQ","acquaintances","THV","thousands value","2019","2019",70,,
"ITE2","Umbria","14_WINF_POL_ACQ","acquaintances","THV","thousands value","2020","2020",86,,
"ITE3","Marche","14_WINF_POL_NEWS","newspapers","HSC","per 100 people with the same characteristics","2019","2019",31.7,,
"ITE3","Marche","14_WINF_POL_NEWS","newspapers","HSC","per 100 people with the same characteristics","2020","2020",28.2,,
"ITF5","Basilicata","14_WINF_POL_TV","tv","THV","thousands value","2019","2019",283,,
"ITF5","Basilicata","14_WINF_POL_TV","tv","THV","thousands value","2020","2020",311,,
"ITFG","Mezzogiorno","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2019","2019",13.9,,
"ITFG","Mezzogiorno","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2020","2020",13.9,,
"ITF2","Molise","14_WINF_POL_NEWS","newspapers","HSC","per 100 people with the same characteristics","2019","2019",23.2,,
"ITF2","Molise","14_WINF_POL_NEWS","newspapers","HSC","per 100 people with the same characteristics","2020","2020",26.2,,
"ITF1","Abruzzo","14_WINF_POL_OTHM","other publications not weekly","THV","thousands value","2019","2019",24,,
"ITF1","Abruzzo","14_WINF_POL_OTHM","other publications not weekly","THV","thousands value","2020","2020",28,,
"ITG1","Sicilia","14_WINF_POL_FRI","friends","HSC","per 100 people with the same characteristics","2019","2019",30.2,,
"ITG1","Sicilia","14_WINF_POL_FRI","friends","HSC","per 100 people with the same characteristics","2020","2020",29.4,,
"ITE4","Lazio","14_WINF_POL_REL","relatives","HSC","per 100 people with the same characteristics","2019","2019",21.3,,
"ITE4","Lazio","14_WINF_POL_REL","relatives","HSC","per 100 people with the same characteristics","2020","2020",22.3,,
"ITF","Sud","14_WINF_POL_OTHER","other","THV","thousands value","2019","2019",253,,
"ITF","Sud","14_WINF_POL_OTHER","other","THV","thousands value","2020","2020",377,,
"ITF1","Abruzzo","14_WINF_POL_REL","relatives","THV","thousands value","2019","2019",188,,
"ITF1","Abruzzo","14_WINF_POL_REL","relatives","THV","thousands value","2020","2020",205,,
"ITE1","Toscana","14_WINF_POL_FRI","friends","HSC","per 100 people with the same characteristics","2019","2019",24.4,,
